x,y
5,11
5,12
6,12
7,12
7,13
12,13
7,14
8,14
9,14
13,14
9,15
10,15
10,16
12,16
13,16
14,16
11,17
12,17
13,17
14,17
15,17
16,17
11,18
12,18
13,18
14,18
15,18
16,18
11,19
12,19
13,19
14,19
15,19
16,19
17,19
18,19
11,20
12,20
13,20
14,20
15,20
16,20
17,20
18,20
19,20
12,21
13,21
14,21
15,21
16,21
17,21
18,21
13,22
14,22
15,22
16,22
17,22
18,22
13,23
14,23
15,23
16,23
17,23
18,23
13,24
14,24
15,24
16,24
17,24
13,25
14,25
15,25
16,25
14,26
15,26
14,27
15,27
14,28
15,28
14,29
15,29
15,30
