x,y
21,51
22,51
23,51
24,51
21,52
22,52
24,52
25,52
26,52
27,52
28,52
29,52
30,52
22,53
24,53
25,53
26,53
27,53
28,53
29,53
30,53
31,53
22,54
23,54
24,54
25,54
26,54
27,54
28,54
29,54
30,54
31,54
32,54
33,54
34,54
21,55
22,55
23,55
25,55
26,55
27,55
28,55
29,55
30,55
31,55
32,55
33,55
34,55
22,56
23,56
25,56
26,56
27,56
28,56
29,56
30,56
31,56
32,56
33,56
34,56
23,57
24,57
26,57
27,57
28,57
29,57
30,57
31,57
32,57
33,57
34,57
35,57
23,58
24,58
27,58
28,58
29,58
30,58
31,58
32,58
33,58
34,58
35,58
36,58
55,58
24,59
27,59
28,59
29,59
30,59
31,59
32,59
33,59
34,59
35,59
25,60
28,60
29,60
30,60
31,60
32,60
33,60
34,60
35,60
29,61
30,61
31,61
32,61
33,61
34,61
35,61
48,61
50,61
51,61
52,61
29,62
30,62
31,62
32,62
33,62
34,62
35,62
43,62
44,62
53,62
54,62
28,63
29,63
30,63
31,63
32,63
33,63
34,63
35,63
42,63
43,63
44,63
54,63
55,63
29,64
30,64
31,64
32,64
33,64
34,64
35,64
36,64
41,64
42,64
43,64
44,64
58,64
59,64
30,65
31,65
32,65
33,65
34,65
35,65
36,65
37,65
39,65
40,65
41,65
42,65
43,65
53,65
56,65
57,65
58,65
59,65
60,65
61,65
63,65
31,66
32,66
33,66
34,66
35,66
36,66
37,66
38,66
39,66
40,66
41,66
42,66
43,66
67,66
33,67
34,67
35,67
36,67
37,67
38,67
39,67
40,67
41,67
42,67
38,68
39,68
40,68
41,68
42,68
43,68
44,68
45,68
46,68
67,68
39,69
40,69
41,69
42,69
43,69
44,69
45,69
46,69
47,69
41,70
42,70
43,70
44,70
45,70
46,70
43,71
44,71
45,71
46,71
44,72
46,72
57,72
59,72
45,73
46,73
55,73
56,73
57,73
58,73
59,73
60,73
66,73
67,73
45,74
46,74
47,74
54,74
55,74
56,74
57,74
58,74
59,74
60,74
61,74
62,74
63,74
64,74
65,74
66,74
47,75
48,75
49,75
50,75
51,75
53,75
54,75
55,75
56,75
57,75
58,75
59,75
60,75
61,75
62,75
63,75
64,75
65,75
66,75
67,75
48,76
49,76
51,76
52,76
53,76
54,76
55,76
56,76
57,76
58,76
59,76
60,76
61,76
62,76
63,76
64,76
65,76
66,76
67,76
68,76
52,77
53,77
54,77
55,77
56,77
57,77
58,77
59,77
60,77
61,77
62,77
63,77
64,77
65,77
66,77
67,77
68,77
69,77
52,78
53,78
54,78
55,78
56,78
57,78
58,78
59,78
60,78
61,78
62,78
63,78
64,78
65,78
66,78
67,78
68,78
69,78
70,78
71,78
72,78
73,78
52,79
53,79
54,79
55,79
56,79
57,79
58,79
59,79
60,79
61,79
62,79
63,79
64,79
65,79
66,79
67,79
68,79
69,79
70,79
71,79
72,79
73,79
74,79
52,80
53,80
54,80
55,80
56,80
57,80
58,80
59,80
60,80
61,80
62,80
63,80
64,80
65,80
66,80
67,80
68,80
69,80
70,80
71,80
72,80
73,80
74,80
75,80
52,81
53,81
54,81
55,81
56,81
57,81
58,81
59,81
60,81
61,81
62,81
63,81
64,81
65,81
66,81
67,81
68,81
69,81
70,81
71,81
72,81
73,81
74,81
75,81
76,81
51,82
52,82
53,82
54,82
55,82
56,82
57,82
58,82
59,82
60,82
61,82
62,82
63,82
64,82
65,82
66,82
67,82
68,82
69,82
70,82
71,82
72,82
73,82
74,82
75,82
76,82
50,83
51,83
52,83
53,83
54,83
55,83
56,83
57,83
58,83
59,83
60,83
61,83
62,83
63,83
64,83
65,83
66,83
67,83
68,83
69,83
70,83
71,83
72,83
73,83
74,83
75,83
76,83
77,83
50,84
51,84
52,84
53,84
54,84
55,84
56,84
57,84
58,84
59,84
60,84
61,84
62,84
63,84
64,84
65,84
66,84
67,84
68,84
69,84
70,84
71,84
72,84
73,84
74,84
75,84
76,84
77,84
39,85
40,85
49,85
50,85
51,85
52,85
53,85
54,85
55,85
56,85
57,85
58,85
59,85
60,85
61,85
62,85
63,85
64,85
65,85
66,85
67,85
68,85
69,85
70,85
71,85
72,85
73,85
74,85
75,85
76,85
77,85
78,85
79,85
49,86
50,86
51,86
52,86
53,86
54,86
55,86
56,86
57,86
58,86
59,86
60,86
61,86
62,86
63,86
64,86
65,86
66,86
67,86
68,86
69,86
70,86
71,86
72,86
73,86
74,86
75,86
76,86
77,86
78,86
79,86
80,86
81,86
49,87
50,87
51,87
52,87
53,87
54,87
55,87
56,87
57,87
58,87
59,87
60,87
61,87
62,87
63,87
64,87
65,87
66,87
67,87
68,87
69,87
70,87
71,87
72,87
73,87
74,87
75,87
76,87
77,87
78,87
79,87
80,87
81,87
82,87
83,87
49,88
50,88
51,88
52,88
53,88
54,88
55,88
56,88
57,88
58,88
59,88
60,88
61,88
62,88
63,88
64,88
65,88
66,88
67,88
68,88
69,88
70,88
71,88
72,88
73,88
74,88
75,88
76,88
77,88
78,88
79,88
80,88
81,88
82,88
83,88
84,88
85,88
86,88
87,88
49,89
50,89
51,89
52,89
53,89
54,89
55,89
56,89
57,89
58,89
59,89
60,89
61,89
62,89
63,89
64,89
65,89
66,89
67,89
68,89
69,89
70,89
71,89
72,89
73,89
74,89
75,89
76,89
77,89
78,89
79,89
80,89
81,89
82,89
83,89
84,89
85,89
86,89
87,89
88,89
49,90
50,90
51,90
52,90
53,90
54,90
55,90
56,90
57,90
58,90
59,90
60,90
61,90
62,90
63,90
64,90
65,90
66,90
67,90
68,90
69,90
70,90
71,90
72,90
73,90
74,90
75,90
76,90
77,90
78,90
79,90
80,90
81,90
82,90
83,90
84,90
85,90
86,90
87,90
88,90
89,90
90,90
49,91
50,91
51,91
52,91
53,91
54,91
55,91
56,91
57,91
58,91
59,91
60,91
61,91
62,91
63,91
64,91
65,91
66,91
67,91
68,91
69,91
70,91
71,91
72,91
73,91
74,91
75,91
76,91
77,91
78,91
79,91
80,91
81,91
82,91
83,91
84,91
85,91
86,91
87,91
88,91
89,91
90,91
50,92
51,92
52,92
53,92
54,92
55,92
56,92
57,92
58,92
59,92
60,92
61,92
62,92
63,92
64,92
65,92
66,92
67,92
68,92
69,92
70,92
71,92
72,92
73,92
74,92
75,92
76,92
77,92
78,92
79,92
80,92
81,92
82,92
83,92
84,92
85,92
86,92
87,92
88,92
89,92
90,92
51,93
52,93
53,93
54,93
